Title,Type,Season,Total Episodes,Watched Episodes,Status,Score,Start Date,Finish Date,Times Watched,Rewatching,Priority,Tags,Comments
Kono Subarashii Sekai ni Shukufuku wo! 3,TV,,11,0,Plan to Watch,0,0000-00-00,0000-00-00,0,0,LOW,,
Kono Yo no Hate de Koi wo Utau Shoujo YU-NO,TV,,26,1,Dropped,0,0000-00-00,0000-00-00,0,0,LOW,isekai,
"Konyaku Haki sareta Reijou wo Hirotta Ore ga, Ikenai Koto wo Oshiekomu",TV,,12,12,Completed,5,0000-00-00,0000-00-00,0,0,LOW,,
Koori Zokusei Danshi to Cool na Douryou Joshi,TV,,12,0,Dropped,2,0000-00-00,0000-00-00,0,0,LOW,,
Kore wa Zombie desu ka?,TV,,12,12,Completed,5,0000-00-00,0000-00-00,0,0,LOW,,
Kore wa Zombie desu ka? OVA,OVA,,2,2,Completed,5,0000-00-00,0000-00-00,0,0,LOW,,
Koujo Denka no Kateikyoushi,TV,,12,5,Dropped,2,2025-06-28,0000-00-00,0,0,LOW,,
Kuma Kuma Kuma Bear,TV,,12,1,Dropped,2,0000-00-00,0000-00-00,0,0,LOW,isekai,
"Kumo desu ga, Nani ka?",TV,,24,24,Completed,8,0000-00-00,0000-00-00,0,0,LOW,isekai,
Kuro no Shoukanshi,TV,,12,12,Completed,8,0000-00-00,0000-00-00,0,0,LOW,isekai,
Kuroneko to Majo no Kyoushitsu,TV,,0,7,Dropped,3,0000-00-00,0000-00-00,0,0,LOW,,
Kyou kara Maou!,TV,,78,0,Plan to Watch,0,0000-00-00,0000-00-00,0,0,LOW,,
Kyuukyoku Shinka shita Full Dive RPG ga Genjitsu yori mo Kusoge Dattara,TV,,12,12,Completed,7,0000-00-00,0000-00-00,0,0,LOW,,
Last Exile,TV,,26,26,Completed,5,0000-00-00,0000-00-00,0,0,LOW,,
Leadale no Daichi nite,TV,,12,12,Completed,5,0000-00-00,0000-00-00,0,0,LOW,isekai,
Level 1 dakedo Unique Skill de Saikyou desu,TV,,12,5,Dropped,3,0000-00-00,0000-00-00,0,0,LOW,isekai,
Level E,TV,,13,13,Completed,7,0000-00-00,0000-00-00,0,0,LOW,,
Little Witch Academia,Movie,,1,1,Completed,6,0000-00-00,0000-00-00,0,0,LOW,,
Little Witch Academia (TV),TV,,25,25,Completed,6,0000-00-00,0000-00-00,0,0,LOW,,
Log Horizon,TV,,25,25,Completed,7,0000-00-00,0000-00-00,0,0,LOW,,
Log Horizon 2nd Season,TV,,25,25,Completed,6,0000-00-00,0000-00-00,0,0,LOW,,
"Loop 7-kaime no Akuyaku Reijou wa, Moto Tekikoku de Jiyuu Kimama na Hanayome Seikatsu wo Mankitsu suru",TV,,12,6,Dropped,0,0000-00-00,0000-00-00,0,0,LOW,,
Lovely★Complex,TV,,24,24,Completed,5,0000-00-00,0000-00-00,0,0,LOW,,
Lv1 Maou to One Room Yuusha,TV,,12,12,Completed,7,0000-00-00,0000-00-00,0,0,LOW,,
Lv2 kara Cheat datta Motoyuusha Kouho no Mattari Isekai Life,TV,,12,12,Completed,6,0000-00-00,0000-00-00,0,0,LOW,,
Lv999 no Murabito,TV,,12,4,Watching,0,0000-00-00,0000-00-00,0,0,LOW,,
Made in Abyss,TV,,13,6,Dropped,3,0000-00-00,0000-00-00,0,0,LOW,,
Madougushi Dahliya wa Utsumukanai,TV,,12,0,Plan to Watch,0,0000-00-00,0000-00-00,0,0,LOW,isekai,
Magic Maker: Isekai Mahou no Tsukurikata,TV,,12,3,Dropped,2,0000-00-00,0000-00-00,0,0,LOW,isekai,
Mahou Shoujo Magical Destroyers,TV,,12,1,Dropped,4,0000-00-00,0000-00-00,0,0,LOW,,
Mahouka Koukou no Rettousei,TV,,26,20,Dropped,2,0000-00-00,0000-00-00,0,0,LOW,,
Mahouka Koukou no Yuutousei,TV,,13,1,Dropped,1,0000-00-00,0000-00-00,0,0,LOW,,
Mahoutsukai no Yakusoku,TV,,12,2,Dropped,2,0000-00-00,0000-00-00,0,0,LOW,isekai,
Mahoutsukai no Yome,TV,,24,24,Completed,7,0000-00-00,0000-00-00,0,0,LOW,,
Mahoutsukai Reimeiki,TV,,12,2,Dropped,3,0000-00-00,0000-00-00,0,0,LOW,,
Mairimashita! Iruma-kun,TV,,23,23,Completed,7,0000-00-00,0000-00-00,0,0,LOW,isekai,
Mairimashita! Iruma-kun 2nd Season,TV,,21,21,Completed,7,0000-00-00,0000-00-00,0,0,LOW,isekai,
Mairimashita! Iruma-kun 3rd Season,TV,,21,0,Plan to Watch,0,0000-00-00,0000-00-00,0,0,LOW,,
Majo no Tabitabi,TV,,12,12,Completed,5,0000-00-00,0000-00-00,0,0,LOW,,
Majo no Takkyuubin,Movie,,1,1,Completed,7,0000-00-00,0000-00-00,0,0,LOW,,
Majutsushi Kunon wa Mieteiru,TV,,13,5,Dropped,4,0000-00-00,0000-00-00,0,0,LOW,,
Maou 2099,TV,,12,5,Dropped,0,0000-00-00,0000-00-00,0,0,LOW,,
"Maou Gakuin no Futekigousha II: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou",TV,,12,2,Dropped,4,0000-00-00,0000-00-00,0,0,LOW,isekai,
"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou",TV,,13,13,Completed,8,0000-00-00,0000-00-00,0,0,LOW,,
"Maou no Ore ga Dorei Elf wo Yome ni Shitanda ga, Dou Medereba Ii?",TV,,12,12,Completed,7,0000-00-00,2024-06-15,0,0,LOW,,
"Maou-sama, Retry!",TV,,12,3,Dropped,0,0000-00-00,0000-00-00,0,0,LOW,isekai,
Maougun Saikyou no Majutsushi wa Ningen datta,TV,,12,2,On-Hold,0,0000-00-00,0000-00-00,0,0,LOW,,
Maoujou de Oyasumi,TV,,12,12,Completed,9,0000-00-00,0000-00-00,0,0,LOW,,
Maoyuu Maou Yuusha,TV,,12,12,Completed,6,0000-00-00,0000-00-00,0,0,LOW,,
Masamune-kun no Revenge,TV,,12,12,Completed,5,0000-00-00,0000-00-00,0,0,LOW,,
Mashle,TV,,12,12,Completed,9,2023-04-07,0000-00-00,0,0,LOW,,
Mashle: Shinkakusha Kouho Senbatsu Shiken-hen,TV,,12,12,Completed,8,0000-00-00,0000-00-00,0,0,LOW,,
Mato Seihei no Slave,TV,,12,2,Dropped,2,0000-00-00,0000-00-00,0,0,LOW,,
Mattaku Saikin no Tantei to Kitara,TV,,12,1,Dropped,0,0000-00-00,0000-00-00,0,0,LOW,,
"Megami ""Isekai Tensei Nani ni Naritai desu ka"" Ore ""Yuusha no Rokkotsu de""",TV,,12,5,Dropped,0,0000-00-00,0000-00-00,0,0,LOW,,
Meikyuu Black Company,TV,,12,7,Dropped,3,0000-00-00,0000-00-00,0,0,LOW,isekai,
"Meitou ""Isekai no Yu"" Kaitakuki: Around 40 Onsen Mania no Tensei Saki wa, Nonbiri Onsen Tengoku deshita",TV,,12,0,Dropped,0,0000-00-00,0000-00-00,0,0,LOW,,
"Mikata ga Yowasugite Hojo Mahou ni Tesshiteita Kyuutei Mahoushi, Tsuihou sarete Saikyou wo Mezasu",TV,,12,12,Completed,4,0000-00-00,2025-12-20,0,0,LOW,,
Mizu Zokusei no Mahoutsukai,TV,,12,12,Completed,7,0000-00-00,2025-09-25,0,0,LOW,isekai,
Mob kara Hajimaru Tansaku Eiyuutan,TV,,12,0,Plan to Watch,0,0000-00-00,0000-00-00,0,0,LOW,,
Mob Psycho 100,TV,,12,12,Completed,10,0000-00-00,0000-00-00,0,0,LOW,,
Mob Psycho 100 II,TV,,13,13,Completed,10,0000-00-00,0000-00-00,0,0,LOW,,
Mob Psycho 100 III,TV,,12,12,Completed,9,0000-00-00,0000-00-00,0,0,LOW,,
Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?,TV,,10,0,Dropped,0,0000-00-00,0000-00-00,0,0,LOW,isekai,
Mononoke Hime,Movie,,1,1,Completed,7,0000-00-00,0000-00-00,0,0,LOW,,
Mujikaku Seijo wa Kyou mo Muishiki ni Chikara wo Tare Nagasu,TV,,0,2,Watching,0,0000-00-00,0000-00-00,0,0,LOW,,
Mushoku no Eiyuu: Betsu ni Skill Nanka Iranakatta n da ga,TV,,12,12,Completed,6,0000-00-00,2025-12-10,0,0,LOW,,
Mushoku Tensei II: Isekai Ittara Honki Dasu,TV,,12,12,Completed,8,0000-00-00,2026-07-29,0,0,LOW,,
Mushoku Tensei II: Isekai Ittara Honki Dasu - Shugo Jutsushi Fitz,TV Special,,1,1,Completed,6,0000-00-00,2026-07-25,0,0,LOW,,
Mushoku Tensei II: Isekai Ittara Honki Dasu Part 2,TV,,12,2,Watching,0,0000-00-00,0000-00-00,0,0,LOW,,
Mushoku Tensei: Isekai Ittara Honki Dasu,TV,,11,11,Completed,7,0000-00-00,0000-00-00,0,0,LOW,isekai,
Mushoku Tensei: Isekai Ittara Honki Dasu - Eris no Goblin Toubatsu,Special,,1,1,Completed,7,0000-00-00,0000-00-00,0,0,LOW,,
Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,TV,,12,12,Completed,7,0000-00-00,0000-00-00,0,0,LOW,isekai,
Nageki no Bourei wa Intai shitai,TV,,13,13,Completed,5,0000-00-00,0000-00-00,0,0,LOW,,
Nageki no Bourei wa Intai shitai Part 2,TV,,11,11,Completed,8,0000-00-00,2025-12-20,0,0,LOW,,
Nanatsu no Maken ga Shihai suru,TV,,15,3,Dropped,4,0000-00-00,0000-00-00,0,0,LOW,,
Nanatsu no Taizai: Mokushiroku no Yonkishi,TV,,24,0,Plan to Watch,0,0000-00-00,0000-00-00,0,0,LOW,,
Nanatsu no Taizai: Mokushiroku no Yonkishi 2nd Season,TV,,12,0,Plan to Watch,0,0000-00-00,0000-00-00,0,0,LOW,,
Nanbaka,TV,,13,0,Dropped,0,0000-00-00,0000-00-00,0,0,LOW,,
Naruto,TV,,220,220,Completed,5,0000-00-00,0000-00-00,0,0,LOW,,
Naruto: Shippuuden,TV,,500,70,Dropped,0,0000-00-00,0000-00-00,0,0,LOW,,
Naze Boku no Sekai wo Daremo Oboeteinai no ka?,TV,,12,0,Plan to Watch,0,0000-00-00,0000-00-00,0,0,LOW,,
Netoge no Yome wa Onnanoko ja Nai to Omotta?,TV,,12,1,Dropped,1,0000-00-00,0000-00-00,0,0,LOW,,
NHK ni Youkoso!,TV,,24,0,Plan to Watch,0,0000-00-00,0000-00-00,0,0,LOW,,
Nigashita Sakana wa Ookikatta ga Tsuriageta Sakana ga Ookisugita Ken,TV,,12,1,Dropped,0,0000-00-00,0000-00-00,0,0,LOW,,
Night Head 2041,TV,,12,1,Dropped,0,0000-00-00,0000-00-00,0,0,LOW,,
Ningen Fushin no Boukensha-tachi ga Sekai wo Sukuu you desu,TV,,12,6,Dropped,3,0000-00-00,0000-00-00,0,0,LOW,,
Ninja Kamui,TV,,13,0,Plan to Watch,0,0000-00-00,0000-00-00,0,0,LOW,,
No Game No Life,TV,,12,0,Dropped,0,0000-00-00,0000-00-00,0,0,LOW,,
Nokemono-tachi no Yoru,TV,,13,1,Dropped,1,0000-00-00,0000-00-00,0,0,LOW,,
Noumin Kanren no Skill bakka Agetetara Nazeka Tsuyoku Natta.,TV,,12,12,Completed,5,0000-00-00,0000-00-00,0,0,LOW,,
Nozomanu Fushi no Boukensha,TV,,12,12,Completed,6,0000-00-00,0000-00-00,0,0,LOW,,
Nyaight of the Living Cat,TV,,12,1,Dropped,0,0000-00-00,0000-00-00,0,0,LOW,,
Obey Me!,ONA,,12,1,Dropped,0,0000-00-00,0000-00-00,0,0,LOW,,
Odayaka Kizoku no Kyuuka no Susume.,TV,,12,2,Dropped,1,0000-00-00,0000-00-00,0,0,LOW,,
Okashi na Tensei,TV,,12,12,Completed,5,0000-00-00,0000-00-00,0,0,LOW,isekai,
Okiraku Ryoushu no Tanoshii Ryouchi Bouei: Seisankei Majutsu de Na mo Naki Mura wo Saikyou no Jousai Toshi ni,TV,,12,12,Completed,8,0000-00-00,2026-03-25,0,0,LOW,,
One Piece,TV,,0,1080,On-Hold,9,0000-00-00,0000-00-00,0,0,LOW,,
One Punch Man,TV,,12,12,Completed,10,0000-00-00,0000-00-00,0,0,LOW,,
One Punch Man 2nd Season,TV,,12,5,Dropped,3,0000-00-00,0000-00-00,0,0,LOW,,
One Punch Man Specials,Special,,6,6,Completed,9,0000-00-00,0000-00-00,0,0,LOW,,
One Punch Man: Road to Hero,OVA,,1,1,Completed,10,0000-00-00,0000-00-00,0,0,LOW,,
Onmyou Kaiten Re:Birth,TV,,12,12,Completed,6,0000-00-00,0000-00-00,0,0,LOW,isekai,
Ookami to Koushinryou: Merchant Meets the Wise Wolf,TV,,25,0,Plan to Watch,0,0000-00-00,0000-00-00,0,0,LOW,,
Ooyukiumi no Kaina,TV,,11,1,Dropped,0,0000-00-00,0000-00-00,0,0,LOW,,
Ore dake Haireru Kakushi Dungeon,TV,,12,10,Dropped,2,0000-00-00,0000-00-00,0,0,LOW,,
Ore dake Level Up na Ken,TV,,12,0,Plan to Watch,0,0000-00-00,0000-00-00,0,0,LOW,,
Ore Monogatari!!,TV,,24,24,Completed,8,0000-00-00,0000-00-00,0,0,LOW,,
Ore wa Seikan Kokka no Akutoku Ryoushu!,TV,,12,12,Completed,4,0000-00-00,0000-00-00,0,0,LOW,isekai,
"Ore wa Subete wo ""Parry"" suru: Gyaku Kanchigai no Sekai Saikyou wa Boukensha ni Naritai",TV,,12,12,Completed,7,0000-00-00,0000-00-00,0,0,LOW,,
Oroka na Tenshi wa Akuma to Odoru,TV,,12,1,Dropped,0,0000-00-00,0000-00-00,0,0,LOW,,
Otome Game Sekai wa Mob ni Kibishii Sekai desu,TV,,12,12,Completed,7,0000-00-00,0000-00-00,0,0,LOW,isekai,
Otome Game Sekai wa Mob ni Kibishii Sekai desu 2,TV,,12,0,Plan to Watch,0,0000-00-00,0000-00-00,0,0,LOW,,
Ousama Ranking,TV,,23,23,Completed,8,0000-00-00,0000-00-00,0,0,LOW,,
Ousama Ranking: Yuuki no Takarabako,TV,,10,0,Plan to Watch,0,0000-00-00,0000-00-00,0,0,LOW,,
Outbreak Company,TV,,12,12,Completed,6,0000-00-00,0000-00-00,0,0,LOW,isekai,
Overlord,TV,,13,13,Completed,8,0000-00-00,0000-00-00,0,0,LOW,,
Overlord II,TV,,13,13,Completed,4,0000-00-00,2018-04-04,0,0,LOW,,
Overlord III,TV,,13,0,Plan to Watch,0,0000-00-00,0000-00-00,0,0,LOW,,
Paripi Koumei,TV,,12,1,Dropped,0,0000-00-00,0000-00-00,0,0,LOW,isekai,
"Party kara Tsuihou sareta Sono Chiyushi, Jitsu wa Saikyou ni Tsuki",TV,,12,10,Dropped,4,0000-00-00,0000-00-00,0,0,LOW,,
Persona 3 the Movie 1: Spring of Birth,Movie,,1,0,Dropped,0,0000-00-00,0000-00-00,0,0,LOW,,
Persona 3 the Movie 2: Midsummer Knight's Dream,Movie,,1,0,Dropped,0,0000-00-00,0000-00-00,0,0,LOW,,
Persona 3 the Movie 3: Falling Down,Movie,,1,0,Dropped,0,0000-00-00,0000-00-00,0,0,LOW,,
Persona 3 the Movie 4: Winter of Rebirth,Movie,,1,1,Dropped,0,0000-00-00,0000-00-00,0,0,LOW,,
Persona 4 the Animation,TV,,25,0,Dropped,0,0000-00-00,0000-00-00,0,0,LOW,,
Persona 5 the Animation,TV,,26,0,Dropped,0,0000-00-00,0000-00-00,0,0,LOW,,
Platinum End,TV,,24,6,Dropped,3,0000-00-00,0000-00-00,0,0,LOW,,
Plunderer,TV,,24,10,Dropped,0,0000-00-00,0000-00-00,0,0,LOW,isekai,
Pokemon,TV,,276,276,Completed,8,0000-00-00,0000-00-00,0,0,LOW,,
Pokemon Advanced Generation,TV,,192,2,Dropped,0,0000-00-00,0000-00-00,0,0,LOW,,
"Potion, Wagami wo Tasukeru",TV,,12,1,Dropped,1,0000-00-00,0000-00-00,0,0,LOW,isekai,
Potion-danomi de Ikinobimasu!,TV,,12,4,Dropped,3,0000-00-00,0000-00-00,0,0,LOW,isekai,
Princess Connect! Re:Dive,TV,,13,1,Dropped,2,0000-00-00,0000-00-00,0,0,LOW,isekai,
Psycho-Pass,TV,,22,0,Dropped,0,0000-00-00,0000-00-00,0,0,LOW,,
Quanzhi Fashi,ONA,,12,12,Completed,0,0000-00-00,0000-00-00,0,0,LOW,,
Quanzhi Gaoshou,ONA,,12,12,Completed,6,0000-00-00,0000-00-00,0,0,LOW,anYme,
Quanzhi Gaoshou Specials,ONA,,3,3,Completed,6,0000-00-00,0000-00-00,0,0,LOW,,
Ragna Crimson,TV,,24,16,Dropped,0,2023-09-30,0000-00-00,0,0,LOW,,
"Rakudai Kenja no Gakuin Musou: Nidome no Tensei, S-Rank Cheat Majutsushi Boukenroku",TV,,0,5,Watching,0,0000-00-00,0000-00-00,0,0,LOW,,
Rakudai Kishi no Cavalry,TV,,12,1,Dropped,1,0000-00-00,0000-00-00,0,0,LOW,,
Re:Creators,TV,,22,2,Dropped,1,0000-00-00,0000-00-00,0,0,LOW,,
Re:Monster,TV,,12,12,Completed,4,0000-00-00,0000-00-00,0,0,LOW,,
Re:Zero kara Hajimeru Isekai Seikatsu,TV,,25,25,Completed,7,0000-00-00,0000-00-00,0,0,LOW,isekai,
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,TV,,13,0,Plan to Watch,0,0000-00-00,0000-00-00,0,0,LOW,isekai,
Reincarnation no Kaben,TV,,13,1,Dropped,0,0000-00-00,0000-00-00,0,0,LOW,,
Rekishi ni Nokoru Akujo ni Naru zo,TV,,13,13,Completed,6,2024-10-01,0000-00-00,0,0,LOW,isekai,
ReLIFE,TV,,13,13,Completed,6,0000-00-00,0000-00-00,0,0,LOW,,
Rokudenashi Majutsu Koushi to Akashic Records,TV,,12,12,Completed,6,0000-00-00,0000-00-00,0,0,LOW,,
Rougo ni Sonaete Isekai de 8-manmai no Kinka wo Tamemasu,TV,,12,12,Completed,7,0000-00-00,0000-00-00,0,0,LOW,isekai,
RPG Fudousan,TV,,12,1,Dropped,1,0000-00-00,0000-00-00,0,0,LOW,,
Rurouni Kenshin: Meiji Kenkaku Romantan (2023),TV,,24,3,Plan to Watch,0,0000-00-00,0000-00-00,0,0,LOW,,
Ryoumin 0-nin Start no Henkyou Ryoushu-sama,TV,,0,1,Watching,0,0000-00-00,0000-00-00,0,0,LOW,,
"S-Rank Monster no ""Behemoth"" dakedo, Neko to Machigawarete Elf Musume no Pet toshite Kurashitemasu",TV,,12,1,Dropped,2,0000-00-00,0000-00-00,0,0,LOW,,
Saigo ni Hitotsu dake Onegai shitemo Yoroshii deshou ka,TV,,13,13,Completed,6,0000-00-00,2025-12-19,0,0,LOW,,
Saihate no Paladin,TV,,12,2,Dropped,1,0000-00-00,0000-00-00,0,0,LOW,isekai,
Saijaku Tamer wa Gomi Hiroi no Tabi wo Hajimemashita.,TV,,12,1,Dropped,3,0000-00-00,0000-00-00,0,0,LOW,isekai,
Saiki Kusuo no Ψ-nan,TV,,120,120,Completed,10,0000-00-00,0000-00-00,0,0,LOW,,
Saiki Kusuo no Ψ-nan 2,TV,,24,24,Completed,10,0000-00-00,0000-00-00,0,0,LOW,,
Saiki Kusuo no Ψ-nan: Ψ-shidou-hen,ONA,,6,6,Completed,10,0000-00-00,0000-00-00,0,0,LOW,,
Saiki Kusuo no Ψ-nan: Kanketsu-hen,TV Special,,1,1,Completed,0,0000-00-00,0000-00-00,0,0,LOW,,
Saikyou Degarashi Ouji no Anyaku Teii Arasoi,TV,,12,3,Watching,0,0000-00-00,0000-00-00,0,0,LOW,,
"Saikyou no Ousama, Nidome no Jinsei wa Nani wo Suru?",TV,,12,12,Completed,6,0000-00-00,0000-00-00,0,0,LOW,isekai,
"Saikyou no Ousama, Nidome no Jinsei wa Nani wo Suru? Season 2",TV,,12,3,Dropped,3,0000-00-00,0000-00-00,0,0,LOW,,
"Saikyou no Shienshoku ""Wajutsushi"" de Aru Ore wa Sekai Saikyou Clan wo Shitagaeru",TV,,12,12,Completed,8,2024-09-30,0000-00-00,0,0,LOW,,
Saikyou no Shokugyou wa Yuusha demo Kenja demo Naku Kanteishi (Kari) Rashii desu yo?,TV,,12,5,Dropped,0,0000-00-00,0000-00-00,0,0,LOW,isekai,
Saikyou Onmyouji no Isekai Tenseiki,TV,,13,13,Completed,8,0000-00-00,0000-00-00,0,0,LOW,isekai,
"Saikyou Tank no Meikyuu Kouryaku: Tairyoku 9999 no Rare Skill-mochi Tank, Yuusha Party wo Tsuihou sareru",TV,,12,5,Dropped,5,0000-00-00,0000-00-00,0,0,LOW,,
Sakamoto Days,TV,,11,11,Completed,8,0000-00-00,0000-00-00,0,0,LOW,,
Sakamoto Days Part 2,TV,,11,0,Plan to Watch,0,0000-00-00,0000-00-00,0,0,LOW,,
Sakamoto desu ga?,TV,,12,12,Completed,8,0000-00-00,0000-00-00,0,0,LOW,,
Salaryman ga Isekai ni Ittara Shitennou ni Natta Hanashi,TV,,12,12,Completed,6,0000-00-00,0000-00-00,0,0,LOW,isekai,
Samurai Champloo,TV,,26,26,Completed,6,0000-00-00,0000-00-00,0,0,LOW,,
Sasaki to Pii-chan,TV,,12,8,Dropped,4,0000-00-00,0000-00-00,0,0,LOW,isekai,
"Sayounara Ryuusei, Konnichiwa Jinsei",TV,,12,5,Dropped,4,0000-00-00,0000-00-00,0,0,LOW,,
"Seija Musou: Salaryman, Isekai de Ikinokoru Tame ni Ayumu Michi",TV,,12,12,Completed,6,0000-00-00,0000-00-00,0,0,LOW,isekai,
Seijo no Maryoku wa Bannou desu,TV,,12,1,Dropped,3,0000-00-00,0000-00-00,0,0,LOW,isekai,
Seiken Gakuin no Makentsukai,TV,,12,12,Completed,5,0000-00-00,0000-00-00,0,0,LOW,,
Seiken Tsukai no World Break,TV,,12,0,Plan to Watch,0,0000-00-00,0000-00-00,0,0,LOW,,
Seirei Gensouki,TV,,12,5,Dropped,2,0000-00-00,0000-00-00,0,0,LOW,isekai,
"Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru",TV,,12,12,Completed,7,0000-00-00,0000-00-00,0,0,LOW,isekai,
Sekai Saikyou no Kouei: Meikyuukoku no Shinjin Tansakusha,TV,,12,3,Watching,0,0000-00-00,0000-00-00,0,0,LOW,,
Sen to Chihiro no Kamikakushi,Movie,,1,1,Completed,7,0000-00-00,0000-00-00,0,0,LOW,,
Sentai Red Isekai de Boukensha ni Naru,TV,,12,7,Dropped,0,0000-00-00,0000-00-00,0,0,LOW,isekai,
"Sentouin, Haken shimasu!",TV,,12,5,Dropped,3,0000-00-00,0000-00-00,0,0,LOW,isekai,
Serial Experiments Lain,TV,,13,13,Completed,8,0000-00-00,0000-00-00,0,0,LOW,,
Shaman King,TV,,64,64,Completed,6,0000-00-00,0000-00-00,0,0,LOW,,
"Shangri-La Frontier: Kusoge Hunter, Kamige ni Idoman to su",TV,,25,25,Completed,8,2023-10-01,0000-00-00,0,0,LOW,,
"Shangri-La Frontier: Kusoge Hunter, Kamige ni Idoman to su 2nd Season",TV,,25,25,Completed,9,0000-00-00,0000-00-00,0,0,LOW,,
"Shijou Saikyou no Daimaou, Murabito A ni Tensei suru",TV,,12,12,Completed,7,0000-00-00,0000-00-00,0,0,LOW,,
Shikkakumon no Saikyou Kenja,TV,,12,12,Completed,6,0000-00-00,0000-00-00,0,0,LOW,,
"Shin no Nakama ja Nai to Yuusha no Party wo Oidasareta node, Henkyou de Slow Life suru Koto ni Shimashita",TV,,13,3,Dropped,3,0000-00-00,0000-00-00,0,0,LOW,,
Shin Shinka no Mi: Shiranai Uchi ni Kachigumi Jinsei,TV,,12,12,Completed,5,0000-00-00,0000-00-00,0,0,LOW,isekai,
Shinchou Yuusha: Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru,TV,,12,12,Completed,8,0000-00-00,0000-00-00,0,0,LOW,isekai,
Shingeki no Kyojin,TV,,25,25,Completed,7,0000-00-00,0000-00-00,0,0,LOW,,
Shingeki no Kyojin Season 2,TV,,12,12,Completed,7,0000-00-00,0000-00-00,0,0,LOW,,
Shingeki no Kyojin Season 3,TV,,12,12,Completed,7,0000-00-00,0000-00-00,0,0,LOW,,
Shingeki no Kyojin Season 3 Part 2,TV,,10,10,Completed,7,0000-00-00,0000-00-00,0,0,LOW,,
Shingeki no Kyojin: The Final Season,TV,,16,16,Completed,7,0000-00-00,0000-00-00,0,0,LOW,,
"Shinjiteita Nakama-tachi ni Dungeon Okuchi de Korosarekaketa ga Gift ""Mugen Gacha"" de Level 9999 no Nakama-tachi wo Te ni Irete Moto Party Member to Sekai ni Fukushuu & ""Zamaa!"" Shimasu!",TV,,12,12,Completed,7,0000-00-00,2025-12-19,0,0,LOW,,
Shinka no Mi: Shiranai Uchi ni Kachigumi Jinsei,TV,,12,12,Completed,4,0000-00-00,0000-00-00,0,0,LOW,isekai,
"Shinmai Ossan Boukensha, Saikyou Party ni Shinu hodo Kitaerarete Muteki ni Naru.",TV,,12,12,Completed,8,0000-00-00,0000-00-00,0,0,LOW,,
Shinseiki Evangelion,TV,,26,26,Completed,6,0000-00-00,0000-00-00,0,0,LOW,,
"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",Movie,,1,1,Completed,6,0000-00-00,0000-00-00,0,0,LOW,,
Shirobuta Kizoku desu ga Zense no Kioku ga Haeta node Hiyoko na Otouto Sodatemasu,TV,,12,3,Dropped,0,0000-00-00,0000-00-00,0,0,LOW,,
Shokei Shoujo no Virgin Road,TV,,12,5,Dropped,4,0000-00-00,0000-00-00,0,0,LOW,isekai,
Shy,TV,,12,1,Dropped,2,0000-00-00,0000-00-00,0,0,LOW,,
Silent Witch: Chinmoku no Majo no Kakushigoto,TV,,13,5,Dropped,4,0000-00-00,0000-00-00,0,0,LOW,,
Skip Beat!,TV,,25,25,Completed,3,0000-00-00,0000-00-00,0,0,LOW,,
Skip to Loafer,TV,,12,1,Plan to Watch,0,0000-00-00,0000-00-00,0,0,LOW,,
Slam Dunk,TV,,101,20,Dropped,3,0000-00-00,0000-00-00,0,0,LOW,,
"Slime Taoshite 300-nen, Shiranai Uchi ni Level Max ni Nattemashita",TV,,12,0,Dropped,3,0000-00-00,0000-00-00,0,0,LOW,isekai,
"Sokushi Cheat ga Saikyou sugite, Isekai no Yatsura ga Marude Aite ni Naranai n desu ga.",TV,,12,12,Completed,6,0000-00-00,0000-00-00,0,0,LOW,isekai,
Sonny Boy,TV,,12,1,Dropped,0,0000-00-00,0000-00-00,0,0,LOW,,
Sora wa Akai Kawa no Hotori,TV,,0,1,Watching,0,0000-00-00,0000-00-00,0,0,LOW,,
Soul Eater,TV,,51,2,Dropped,1,0000-00-00,0000-00-00,0,0,LOW,,
Sousou no Frieren,TV,,28,28,Completed,9,2023-09-30,0000-00-00,0,0,LOW,,
Sousou no Frieren 2nd Season,TV,,10,0,Plan to Watch,0,0000-00-00,0000-00-00,0,0,LOW,,
Sozai Saishuka no Isekai Ryokouki,TV,,12,9,Dropped,4,0000-00-00,0000-00-00,0,0,LOW,isekai,
Space☆Dandy,TV,,13,13,Completed,1,0000-00-00,0000-00-00,0,0,LOW,,
Space☆Dandy 2nd Season,TV,,13,1,Dropped,0,0000-00-00,0000-00-00,0,0,LOW,,
Spy x Family,TV,,12,12,Completed,9,0000-00-00,0000-00-00,0,0,LOW,,
Spy x Family Part 2,TV,,13,13,Completed,9,0000-00-00,0000-00-00,0,0,LOW,,
Spy x Family Season 2,TV,,12,0,Plan to Watch,0,0000-00-00,0000-00-00,0,0,LOW,,
Spy x Family Season 3,TV,,13,0,Plan to Watch,0,0000-00-00,0000-00-00,0,0,LOW,,
