Title,Type,Season,Total Episodes,Watched Episodes,Status,Score,Start Date,Finish Date,Times Watched,Rewatching,Priority,Tags,Comments
Claymore,TV,,26,4,Dropped,4,0000-00-00,0000-00-00,0,0,LOW,,
Clevatess: Majuu no Ou to Akago to Shikabane no Yuusha,TV,,12,12,Completed,8,0000-00-00,0000-00-00,0,0,LOW,,
Cowboy Bebop,TV,,26,26,Completed,6,0000-00-00,0000-00-00,0,0,LOW,,
Cyberpunk: Edgerunners,ONA,,10,10,Completed,9,0000-00-00,0000-00-00,0,0,LOW,,
D.Gray-man,TV,,103,103,Completed,6,0000-00-00,0000-00-00,0,0,LOW,,
Dead Account,TV,,12,0,Plan to Watch,0,0000-00-00,0000-00-00,0,0,LOW,,
Dead Mount Death Play,TV,,12,7,Dropped,3,0000-00-00,0000-00-00,0,0,LOW,isekai,
Death March kara Hajimaru Isekai Kyousoukyoku,TV,,12,12,Completed,1,0000-00-00,0000-00-00,0,0,LOW,isekai,
Death Note,TV,,37,37,Completed,7,0000-00-00,0000-00-00,0,0,LOW,,
Death Parade,TV,,12,12,Completed,7,0000-00-00,0000-00-00,0,0,LOW,,
Debu to Love to Ayamachi to!,TV,,12,1,Dropped,0,0000-00-00,0000-00-00,0,0,LOW,,
Dekin no Mogura,TV,,12,2,Dropped,0,0000-00-00,0000-00-00,0,0,LOW,,
Dekisokonai to Yobareta Motoeiyuu wa Jikka kara Tsuihou sareta node Sukikatte ni Ikiru Koto ni Shita,TV,,12,6,Dropped,3,0000-00-00,0000-00-00,0,0,LOW,,
Dekoboko Majo no Oyako Jijou,TV,,12,1,Dropped,2,0000-00-00,0000-00-00,0,0,LOW,,
Densetsu no Yuusha no Densetsu,TV,,24,24,Completed,6,0000-00-00,0000-00-00,0,0,LOW,,
Dimension W,TV,,12,12,Completed,4,0000-00-00,0000-00-00,0,0,LOW,,
Dogulwang,TV,,12,1,Watching,0,0000-00-00,0000-00-00,0,0,LOW,,
Dr. Stone,TV,,24,24,Completed,7,0000-00-00,0000-00-00,0,0,LOW,,
Dr. Stone: New World,TV,,11,11,Completed,8,0000-00-00,0000-00-00,0,0,LOW,,
Dr. Stone: New World Part 2,TV,,11,11,Completed,6,0000-00-00,0000-00-00,0,0,LOW,,
Dr. Stone: Ryuusui,TV Special,,1,1,Completed,8,0000-00-00,0000-00-00,0,0,LOW,,
Dr. Stone: Science Future,TV,,12,12,Completed,6,0000-00-00,0000-00-00,0,0,LOW,,
Dr. Stone: Science Future Part 2,TV,,12,2,Dropped,0,0000-00-00,0000-00-00,0,0,LOW,,
Dr. Stone: Stone Wars,TV,,11,11,Completed,8,0000-00-00,0000-00-00,0,0,LOW,,
Dragon Ball,TV,,153,153,Completed,9,0000-00-00,0000-00-00,0,0,LOW,,
Dragon Ball GT,TV,,64,64,Completed,5,0000-00-00,0000-00-00,0,0,LOW,,
Dragon Ball Super,TV,,131,131,Completed,9,0000-00-00,0000-00-00,0,0,LOW,"anyme, anymeapp.com",
Dragon Ball Z,TV,,291,291,Completed,9,0000-00-00,0000-00-00,0,0,LOW,,
Dragon Ball: Episode of Bardock,Special,,1,1,Completed,6,0000-00-00,0000-00-00,0,0,LOW,,
Drifters,TV,,12,12,Completed,8,0000-00-00,2018-04-14,0,0,LOW,isekai,
Drifters (OVA),OVA,,2,2,Completed,8,0000-00-00,0000-00-00,0,0,LOW,,
Dungeon Meshi,TV,,24,12,On-Hold,0,0000-00-00,0000-00-00,0,0,LOW,,
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,TV,,13,4,Dropped,0,0000-00-00,0000-00-00,0,0,LOW,,
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Gaiden: Sword Oratoria,TV,,12,0,Dropped,0,0000-00-00,0000-00-00,0,0,LOW,,
Durarara!!,TV,,24,0,Dropped,0,0000-00-00,0000-00-00,0,0,LOW,,
Edens Zero,TV,,25,4,Dropped,3,0000-00-00,0000-00-00,0,0,LOW,,
Eiyuu Kyoushitsu,TV,,12,3,Dropped,3,0000-00-00,0000-00-00,0,0,LOW,,
Elfen Lied,TV,,13,0,Dropped,0,0000-00-00,0000-00-00,0,0,LOW,,
Ergo Proxy,TV,,23,3,Dropped,2,0000-00-00,0000-00-00,0,0,LOW,,
Eris no Seihai,TV,,12,2,Dropped,0,0000-00-00,0000-00-00,0,0,LOW,,
Ex-Arm,TV,,12,1,Dropped,1,0000-00-00,0000-00-00,0,0,LOW,,
Fairy Tail,TV,,175,65,Dropped,4,0000-00-00,0000-00-00,0,0,LOW,,
Fairy Tail (2014),TV,,102,60,Dropped,4,0000-00-00,0000-00-00,0,0,LOW,,
Fate/Zero,TV,,13,0,Dropped,0,0000-00-00,0000-00-00,0,0,LOW,,
"Fuguushoku ""Kanteishi"" ga Jitsu wa Saikyou Datta",TV,,12,4,Dropped,0,0000-00-00,0000-00-00,0,0,LOW,,
Fullmetal Alchemist,TV,,51,0,Dropped,4,0000-00-00,0000-00-00,0,0,LOW,,
Fullmetal Alchemist: Brotherhood,TV,,64,64,Completed,2,0000-00-00,0000-00-00,0,0,LOW,,
Fumetsu no Anata e,TV,,20,3,Dropped,0,0000-00-00,0000-00-00,0,0,LOW,,
Futari Solo Camp,TV,,24,3,Dropped,4,0000-00-00,0000-00-00,0,0,LOW,,
Gachiakuta,TV,,24,8,Dropped,5,0000-00-00,0000-00-00,0,0,LOW,,
"Gaikotsu Kishi-sama, Tadaima Isekai e Odekakechuu",TV,,12,12,Completed,5,0000-00-00,0000-00-00,0,0,LOW,isekai,
"Gaikotsu Kishi-sama, Tadaima Isekai e Odekakechuu II",TV,,12,0,Plan to Watch,0,0000-00-00,0000-00-00,0,0,LOW,,
Gake no Ue no Ponyo,Movie,,1,1,Completed,7,0000-00-00,0000-00-00,0,0,LOW,,
Ganglion,TV,,24,13,Dropped,7,0000-00-00,0000-00-00,0,0,LOW,,
Gantz,TV,,13,13,Completed,8,0000-00-00,0000-00-00,0,0,LOW,,
Gantz 2nd Stage,TV,,13,13,Completed,8,0000-00-00,0000-00-00,0,0,LOW,,
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",TV,,12,12,Completed,7,0000-00-00,0000-00-00,0,0,LOW,isekai,
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri Part 2",TV,,12,12,Completed,7,0000-00-00,0000-00-00,0,0,LOW,isekai,
Gekai Elise,TV,,12,8,Dropped,0,0000-00-00,0000-00-00,0,0,LOW,isekai,
Genjitsu Shugi Yuusha no Oukoku Saikenki,TV,,13,13,Completed,7,0000-00-00,0000-00-00,0,0,LOW,isekai,
Genjitsu Shugi Yuusha no Oukoku Saikenki Part 2,TV,,13,13,Completed,6,0000-00-00,0000-00-00,0,0,LOW,isekai,
Gnosia,TV,,21,3,Dropped,4,0000-00-00,0000-00-00,0,0,LOW,,
Goblin Slayer,TV,,12,12,Completed,7,0000-00-00,0000-00-00,0,0,LOW,,
Goblin Slayer II,TV,,12,12,Completed,7,0000-00-00,0000-00-00,0,0,LOW,,
Goblin Slayer: Goblin's Crown,Movie,,1,1,Completed,7,0000-00-00,0000-00-00,0,0,LOW,,
Golden Time,TV,,24,24,Completed,6,0000-00-00,0000-00-00,0,0,LOW,,
Gorilla no Kami kara Kago sareta Reijou wa Ouritsu Kishidan de Kawaigarareru,TV,,12,12,Completed,5,0000-00-00,0000-00-00,0,0,LOW,,
Grancrest Senki,TV,,24,9,Dropped,0,0000-00-00,0000-00-00,0,0,LOW,,
Great Teacher Onizuka,TV,,43,43,Completed,10,0000-00-00,0000-00-00,0,0,LOW,,
"Guild no Uketsukejou desu ga, Zangyou wa Iya nanode Boss wo Solo Toubatsu Shiyou to Omoimasu",TV,,12,12,Completed,6,0000-00-00,0000-00-00,0,0,LOW,,
"Hachi-nan tte, Sore wa Nai deshou!",TV,,12,3,Dropped,0,0000-00-00,0000-00-00,0,0,LOW,isekai,
Hagure Yuusha no Aesthetica,TV,,12,5,Dropped,5,0000-00-00,0000-00-00,0,0,LOW,,
Hai to Gensou no Grimgar,TV,,12,12,Completed,5,0000-00-00,0000-00-00,0,0,LOW,isekai,
Hajime no Ippo,TV,,75,75,Completed,7,0000-00-00,0000-00-00,0,0,LOW,,
Hajime no Ippo: New Challenger,TV,,26,26,Completed,7,0000-00-00,0000-00-00,0,0,LOW,,
Hajime no Ippo: Rising,TV,,25,25,Completed,7,0000-00-00,0000-00-00,0,0,LOW,,
Hametsu no Oukoku,TV,,12,12,Completed,5,0000-00-00,0000-00-00,0,0,LOW,,
Handa-kun,TV,,12,12,Completed,7,0000-00-00,0000-00-00,0,0,LOW,,
Hataage! Kemono Michi,TV,,12,8,Dropped,0,0000-00-00,0000-00-00,0,0,LOW,isekai,
Hataraku Maou-sama!,TV,,13,13,Completed,7,0000-00-00,0000-00-00,0,0,LOW,isekai,
Hataraku Maou-sama!!,TV,,12,12,Completed,5,0000-00-00,0000-00-00,0,0,LOW,isekai,
Hataraku Maou-sama!! 2nd Season,TV,,12,0,Plan to Watch,0,0000-00-00,0000-00-00,0,0,LOW,,
"Hazure Skill ""Kinomi Master"": Skill no Mi (Tabetara Shinu) wo Mugen ni Taberareru You ni Natta Ken ni Tsuite",TV,,12,7,Dropped,0,0000-00-00,0000-00-00,0,0,LOW,,
"Hazurewaku no ""Joutai Ijou Skill"" de Saikyou ni Natta Ore ga Subete wo Juurin suru made",TV,,12,12,Completed,7,0000-00-00,0000-00-00,0,0,LOW,isekai,
Helck,TV,,24,24,Completed,5,0000-00-00,0000-00-00,0,0,LOW,,
Hell Mode: Yarikomizuki no Gamer wa Hai Settei no Isekai de Musou suru,TV,,12,12,Completed,6,0000-00-00,2026-04-18,0,0,LOW,isekai,
Hell Mode: Yarikomizuki no Gamer wa Hai Settei no Isekai de Musou suru 2nd Season,TV,,0,3,Watching,0,0000-00-00,0000-00-00,0,0,LOW,,
Higeki no Genkyou to Naru Saikyou Gedou Last Boss Joou wa Tami no Tame ni Tsukushimasu.,TV,,12,4,Dropped,4,0000-00-00,0000-00-00,0,0,LOW,isekai,
Hikari no Ou,TV,,10,1,Dropped,3,0000-00-00,0000-00-00,0,0,LOW,,
Himekishi wa Barbaroi no Yome,TV,,12,4,Dropped,0,0000-00-00,0000-00-00,0,0,LOW,,
"Himesama ""Goumon"" no Jikan desu",TV,,12,2,Dropped,0,0000-00-00,0000-00-00,0,0,LOW,,
Hinamatsuri,TV,,12,12,Completed,5,0000-00-00,0000-00-00,0,0,LOW,,
Hitoribocchi no Isekai Kouryaku,TV,,12,12,Completed,6,0000-00-00,0000-00-00,0,0,LOW,isekai,
Hokuto no Ken Movie,Movie,,1,1,Completed,5,0000-00-00,0000-00-00,0,0,LOW,,
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen,TV,,14,14,Completed,5,0000-00-00,0000-00-00,0,0,LOW,isekai,
Hoshi no Samidare,TV,,24,2,Dropped,0,0000-00-00,0000-00-00,0,0,LOW,,
Hoshifuru Oukoku no Nina,TV,,12,1,Dropped,0,0000-00-00,0000-00-00,0,0,LOW,,
Hotel Inhumans,TV,,13,2,Dropped,0,0000-00-00,0000-00-00,0,0,LOW,,
Howl no Ugoku Shiro,Movie,,1,1,Completed,7,0000-00-00,0000-00-00,0,0,LOW,,
Hunter x Hunter (2011),TV,,148,15,Dropped,3,0000-00-00,0000-00-00,0,0,LOW,,
Hyakuren no Haou to Seiyaku no Valkyria,TV,,12,1,Dropped,0,0000-00-00,0000-00-00,0,0,LOW,isekai,
Hyouken no Majutsushi ga Sekai wo Suberu,TV,,12,12,Completed,5,0000-00-00,0000-00-00,0,0,LOW,isekai,
"Ima, Soko ni Iru Boku",TV,,13,0,Plan to Watch,0,0000-00-00,0000-00-00,0,0,LOW,isekai,
Infinite Dendrogram,TV,,13,0,Plan to Watch,0,0000-00-00,0000-00-00,0,0,LOW,isekai,
Inuyashiki,TV,,11,11,Completed,3,0000-00-00,0000-00-00,0,0,LOW,,
Isekai Cheat Magician,TV,,12,12,Completed,4,0000-00-00,0000-00-00,0,0,LOW,isekai,
